strategy_id,label,method,seed,role,completed,gate_pass,ensemble_group,include_main,include_inference,report_seed_distribution,weight_log_path,weight_log_sha256,checkpoint_path,checkpoint_sha256,config_sha256,code_sha256,train_seconds,evaluation_seconds,notes,manifest_directory,ensemble_members
vine_td3_seed_20260747,NN-vine LSTM-TD3 seed 20260747,NN-vine LSTM-TD3,20260747,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260747.csv,945e4279d77bc694e7ead978559d2a729f4f3601391094a0647744352bb286b2,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260747/td3_lstm_vine_full.pt,0a218447ead4b15b4335b5773171ec30b499c0c66e20edd3116a45aa5ed23ac8,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,10.974854,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260748,NN-vine LSTM-TD3 seed 20260748,NN-vine LSTM-TD3,20260748,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260748.csv,c783f914015da6240f6c17971009296484c8f36b0252c6834b204d6de5bbf122,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260748/td3_lstm_vine_full.pt,fd422a734f217eab52097b61cc54d1a0684a5188fbc372646809fdef13292099,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,10.924562,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260749,NN-vine LSTM-TD3 seed 20260749,NN-vine LSTM-TD3,20260749,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260749.csv,c360cb2857a94c8028813df45f93d3ff1716eb305a4219154dff85614cb9ca2e,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260749/td3_lstm_vine_full.pt,1129293e828d4cdc3ccc53c34d09d0a6e3b2989cf7cc64cf48261597e59f6a1a,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.118392,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260750,NN-vine LSTM-TD3 seed 20260750,NN-vine LSTM-TD3,20260750,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260750.csv,1000a159f515c8870d55e33101421ce88d11784161aa51c2a787e70e8d1b3f71,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260750/td3_lstm_vine_full.pt,7515670db9d6db9c20e7aa62bcb6360557bb40880d2fac8441f7c40e1247b9a4,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.096972,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260751,NN-vine LSTM-TD3 seed 20260751,NN-vine LSTM-TD3,20260751,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260751.csv,a79b4bb191921f3314fc22a017c09ada764c3256cf687151c95b3f2e4c4e24d3,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260751/td3_lstm_vine_full.pt,3b889857915878f8ebce8a148f0653f5b682e8511a3003d13e09fae37f954c69,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.103661,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260752,NN-vine LSTM-TD3 seed 20260752,NN-vine LSTM-TD3,20260752,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260752.csv,13f6d7685f7d4ecf7fb370255c801d3802b4829e07339bcab4f5d99383d20d59,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260752/td3_lstm_vine_full.pt,d7ed9b4fd4883c945e8493f3f1363ffaefbccf6a90d5134f965a46a750f2c873,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.161123,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260753,NN-vine LSTM-TD3 seed 20260753,NN-vine LSTM-TD3,20260753,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260753.csv,9c63e0c4336be3cfe080b5dd38c1664c566c9291c9598e0ec6ec5fd92a718fdd,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260753/td3_lstm_vine_full.pt,6556fa926ca4c1be02e9e11cd742fcec5b8e863cb58668adff7adedd341c82c6,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.094253,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260754,NN-vine LSTM-TD3 seed 20260754,NN-vine LSTM-TD3,20260754,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260754.csv,fe86575b6c4c10074294ebc5a5ab750469546c76ca8bf1b8c81807a414d885bc,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260754/td3_lstm_vine_full.pt,35066bddfbc2a9f6063f12b92ee7be241b4ab299aee8c45bbcdd383df0214776,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,10.988039,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260755,NN-vine LSTM-TD3 seed 20260755,NN-vine LSTM-TD3,20260755,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260755.csv,a80d3e993168d05493f5e3aeb0aa315ef1f4f54a691b476cc83b075f4fc43936,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260755/td3_lstm_vine_full.pt,edfb453a46da6560337a21b98b3ed85ac804657ecd947f05b36cc4a9e6c38110,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.001537,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260756,NN-vine LSTM-TD3 seed 20260756,NN-vine LSTM-TD3,20260756,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260756.csv,04e3311d65f86d1ac0063cffe5c643cb698ea08a062cd9fcded44b337422022f,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260756/td3_lstm_vine_full.pt,d084cb6f4a8fba695ced50695c9375be0041075bbd7a5176d5e1f59c0272929f,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.298815,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260757,NN-vine LSTM-TD3 seed 20260757,NN-vine LSTM-TD3,20260757,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260757.csv,6df0085e7e24c2cfece187616a7f4cac1e24a1052be883a6315ab3f3f054ac91,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260757/td3_lstm_vine_full.pt,0a4fa38215648293280198f110230a93fd0d1140547b1a8172be46d593abde7c,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.201227,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260758,NN-vine LSTM-TD3 seed 20260758,NN-vine LSTM-TD3,20260758,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260758.csv,c3d3715c3715c027ff3bc8a671f9f08a7565deca055d983460a065ca6f4b07ad,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260758/td3_lstm_vine_full.pt,9c0e521283c41dd1994110c7ad71463dc6512a44895c20bdbbc10ef9552e9281,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.030191,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260759,NN-vine LSTM-TD3 seed 20260759,NN-vine LSTM-TD3,20260759,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260759.csv,46c1a2bffef627b88239b5d4a15df0880fdf02514a37861f9df087592c67234a,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260759/td3_lstm_vine_full.pt,885324790b4e5edb4b6e30411d0b90f05e10f30cbbfd934f99442bb4ac18ac87,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.284210,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260760,NN-vine LSTM-TD3 seed 20260760,NN-vine LSTM-TD3,20260760,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260760.csv,f477f1ae679e6b32752f42802f6270834519235fc209afb1e383d569584afd00,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260760/td3_lstm_vine_full.pt,d22f2df031ed8007379c3eebb489cb5b1e2e5a3fe509232b52ac009852b6659f,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.054098,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,NN-vine LSTM-TD3,ensemble,proposed_ensemble,True,True,vine_td3_full_gate_pass,True,True,False,generated_mean_weights,e7b9429ad1961d485a5ca67360ea1abe8494618018766d01804938d07bd2a5b6,ensemble_members,f38a30774162e40fa3b6395081988601cfe00398d32e4bb040bdccbef1e2f53f,4f6feee5f6af362250633b8b438e669be7a3a5cbdb6116efec406365c6830ade,4f6feee5f6af362250633b8b438e669be7a3a5cbdb6116efec406365c6830ade,,221.37139200000001,Arithmetic mean of 20 pre-holdout gate-passing seeds,,vine_td3_seed_20260741|vine_td3_seed_20260742|vine_td3_seed_20260743|vine_td3_seed_20260744|vine_td3_seed_20260745|vine_td3_seed_20260746|vine_td3_seed_20260747|vine_td3_seed_20260748|vine_td3_seed_20260749|vine_td3_seed_20260750|vine_td3_seed_20260751|vine_td3_seed_20260752|vine_td3_seed_20260753|vine_td3_seed_20260754|vine_td3_seed_20260755|vine_td3_seed_20260756|vine_td3_seed_20260757|vine_td3_seed_20260758|vine_td3_seed_20260759|vine_td3_seed_20260760
